log_id	receipt_id	date	start_time	end_time	duration_min	customer_name	service_name	price	staff_phone	staff_id	staff_name	role_in_tour	commission_pct	commission_amount	tip_amount	total_earned	payment_method	created_at
HD577870_S1	HD577870	2026-08-31	15:05	15:06	1	Khách vãng lai	Combo 3	139.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	6.950 đ	0 đ	6.950 đ	Chuyển khoản	2026/08/31 - 15:06
HD577870_S2	HD577870	2026-08-31	15:05	15:06	1	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	13.900 đ	0 đ	13.900 đ	Chuyển khoản	2026/08/31 - 15:06
HD580241_S1	HD580241	2026-08-31	15:05	15:06	1	Khách vãng lai	Combo 3	139.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	6.950 đ	0 đ	6.950 đ	Chuyển khoản	2026/08/31 - 15:06
HD580241_S2	HD580241	2026-08-31	15:05	15:06	1	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	13.900 đ	0 đ	13.900 đ	Chuyển khoản	2026/08/31 - 15:06
HD350718_S1	HD350718	2026-08-31	15:28	15:35	7	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	12.800 đ	0 đ	12.800 đ	Tiền mặt	2026/08/31 - 15:35
HD931378_S1	HD931378	2026-08-31	15:40	15:45	5	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 15:45
HD144549_S1	HD144549	2026-08-31	15:46	15:48	2	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	2.240 đ	0 đ	2.240 đ	Tiền mặt	2026/08/31 - 15:49
HD144549_S2	HD144549	2026-08-31	15:46	15:48	2	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	4.224 đ	0 đ	4.224 đ	Tiền mặt	2026/08/31 - 15:49
HD061779_S1	HD061779	2026-08-31	16:37	16:37	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/31 - 16:37
HD169652_S1	HD169652	2026-08-31	16:39	16:39	1	Khách vãng lai	Combo 2	109.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	5.450 đ	0 đ	5.450 đ	Tiền mặt	2026/08/31 - 16:39
HD169652_S2	HD169652	2026-08-31	16:39	16:39	1	Khách vãng lai	Combo 2	109.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	10.900 đ	0 đ	10.900 đ	Tiền mặt	2026/08/31 - 16:39
HD671740_S1	HD671740	2026-08-31	16:47	16:47	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	3.200 đ	0 đ	3.200 đ	Chuyển khoản	2026/08/31 - 16:47
HD671740_S2	HD671740	2026-08-31	16:47	16:47	1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 16:47
